evaluation,source_language,language,pass@1,pass@1_se,pass@5,pass@5_se
qwen2.5_grpo_reward7b,rust,js,0.400000,0.020187,0.567073,0.000000
qwen2.5_grpo_reward7b,rust,python,0.563415,0.019205,0.707317,0.000000
qwen2.5_grpo_reward7b,ALL,total,0.398943,0.003626,0.569919,0.000000
qwen2.5_grpo_reward80b,cpp,go,0.124390,0.019127,0.298780,0.000000
qwen2.5_grpo_reward80b,cpp,java,0.382927,0.022019,0.609756,0.000000
qwen2.5_grpo_reward80b,cpp,js,0.412195,0.023458,0.634146,0.000000
qwen2.5_grpo_reward80b,cpp,python,0.348780,0.024813,0.603659,0.000000
qwen2.5_grpo_reward80b,cpp,rust,0.292683,0.019359,0.469512,0.000000
qwen2.5_grpo_reward80b,go,cpp,0.264634,0.021883,0.487805,0.000000
qwen2.5_grpo_reward80b,go,java,0.400000,0.023267,0.621951,0.000000
qwen2.5_grpo_reward80b,go,js,0.571951,0.022880,0.762195,0.000000
qwen2.5_grpo_reward80b,go,python,0.502439,0.025812,0.774390,0.000000
qwen2.5_grpo_reward80b,go,rust,0.246341,0.020552,0.445122,0.000000
qwen2.5_grpo_reward80b,java,cpp,0.257317,0.021883,0.463415,0.000000
qwen2.5_grpo_reward80b,java,go,0.202439,0.019049,0.384146,0.000000
qwen2.5_grpo_reward80b,java,js,0.471951,0.021951,0.664634,0.000000
qwen2.5_grpo_reward80b,java,python,0.528049,0.025522,0.786585,0.000000
qwen2.5_grpo_reward80b,java,rust,0.323171,0.022154,0.518293,0.000000
qwen2.5_grpo_reward80b,js,cpp,0.351220,0.025229,0.628049,0.000000
qwen2.5_grpo_reward80b,js,go,0.268293,0.022684,0.506098,0.000000
qwen2.5_grpo_reward80b,js,java,0.448780,0.022880,0.664634,0.000000
qwen2.5_grpo_reward80b,js,python,0.553659,0.024268,0.774390,0.000000
qwen2.5_grpo_reward80b,js,rust,0.220732,0.020696,0.420732,0.000000
qwen2.5_grpo_reward80b,python,cpp,0.268293,0.017672,0.420732,0.000000
qwen2.5_grpo_reward80b,python,go,0.185366,0.018735,0.359756,0.000000
qwen2.5_grpo_reward80b,python,java,0.456098,0.020260,0.634146,0.000000
qwen2.5_grpo_reward80b,python,js,0.520732,0.022750,0.725610,0.000000
qwen2.5_grpo_reward80b,python,rust,0.358537,0.020187,0.548780,0.000000
qwen2.5_grpo_reward80b,rust,cpp,0.306098,0.023584,0.530488,0.000000
qwen2.5_grpo_reward80b,rust,go,0.154878,0.019359,0.341463,0.000000
qwen2.5_grpo_reward80b,rust,java,0.441463,0.022019,0.652439,0.000000
qwen2.5_grpo_reward80b,rust,js,0.420732,0.022221,0.603659,0.000000
qwen2.5_grpo_reward80b,rust,python,0.440244,0.024329,0.676829,0.000000
qwen2.5_grpo_reward80b,ALL,total,0.357480,0.004039,0.567073,0.000000
qwen3.5,cpp,go,0.550000,0.020981,0.743902,0.000000
qwen3.5,cpp,java,0.829268,0.014735,0.890244,0.000000
qwen3.5,cpp,js,0.750000,0.015035,0.835366,0.000000
qwen3.5,cpp,python,0.747561,0.018655,0.859756,0.000000
qwen3.5,cpp,rust,0.356098,0.024022,0.585366,0.000000
qwen3.5,go,cpp,0.587805,0.018655,0.725610,0.000000
qwen3.5,go,java,0.715854,0.017588,0.823171,0.000000
qwen3.5,go,js,0.795122,0.017333,0.908537,0.000000
qwen3.5,go,python,0.819512,0.018333,0.926829,0.000000
qwen3.5,go,rust,0.364634,0.023835,0.579268,0.000000
qwen3.5,java,cpp,0.686585,0.016721,0.798780,0.000000
qwen3.5,java,go,0.579268,0.020981,0.750000,0.000000
qwen3.5,java,js,0.808537,0.018575,0.926829,0.000000
qwen3.5,java,python,0.836585,0.012906,0.902439,0.000000
qwen3.5,java,rust,0.398780,0.024933,0.640244,0.000000
qwen3.5,js,cpp,0.597561,0.022880,0.768293,0.000000
qwen3.5,js,go,0.641463,0.019049,0.798780,0.000000
qwen3.5,js,java,0.792683,0.018495,0.926829,0.000000
qwen3.5,js,python,0.829268,0.014532,0.902439,0.000000
qwen3.5,js,rust,0.362195,0.023647,0.573171,0.000000
qwen3.5,python,cpp,0.585366,0.020113,0.743902,0.000000
qwen3.5,python,go,0.453659,0.019282,0.621951,0.000000
qwen3.5,python,java,0.691463,0.018170,0.817073,0.000000
qwen3.5,python,js,0.704878,0.017672,0.829268,0.000000
